question_id,question_category,llm_model,n_correct,n_fail,n_blank,fail_rate
3367,biology,gemini-2.5-flash-lite,10,0,0,0.0
3445,biology,gemini-2.5-flash-lite,10,0,0,0.0
3463,biology,gemini-2.5-flash-lite,10,0,0,0.0
3506,biology,gemini-2.5-flash-lite,10,0,0,0.0
3522,biology,gemini-2.5-flash-lite,9,1,0,0.1
3582,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
3612,chemistry,gemini-2.5-flash-lite,3,7,1,0.7
3635,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
3941,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
3955,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
3996,chemistry,gemini-2.5-flash-lite,0,10,6,1.0
4052,chemistry,gemini-2.5-flash-lite,3,7,0,0.7
4149,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
4243,chemistry,gemini-2.5-flash-lite,6,4,4,0.4
4277,chemistry,gemini-2.5-flash-lite,9,1,0,0.1
4293,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
4299,chemistry,gemini-2.5-flash-lite,8,2,0,0.2
4315,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
4348,chemistry,gemini-2.5-flash-lite,0,10,0,1.0
4433,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
4437,chemistry,gemini-2.5-flash-lite,0,10,1,1.0
4448,chemistry,gemini-2.5-flash-lite,9,1,1,0.1
4498,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
4556,chemistry,gemini-2.5-flash-lite,9,1,0,0.1
4648,chemistry,gemini-2.5-flash-lite,10,0,0,0.0
4708,history,gemini-2.5-flash-lite,9,1,0,0.1
4715,history,gemini-2.5-flash-lite,8,2,0,0.2
4724,history,gemini-2.5-flash-lite,10,0,0,0.0
4726,history,gemini-2.5-flash-lite,10,0,0,0.0
4741,history,gemini-2.5-flash-lite,10,0,0,0.0
4751,history,gemini-2.5-flash-lite,0,10,0,1.0
4765,history,gemini-2.5-flash-lite,10,0,0,0.0
4834,history,gemini-2.5-flash-lite,10,0,0,0.0
4839,history,gemini-2.5-flash-lite,10,0,0,0.0
4868,history,gemini-2.5-flash-lite,10,0,0,0.0
4871,history,gemini-2.5-flash-lite,10,0,0,0.0
4878,history,gemini-2.5-flash-lite,10,0,0,0.0
4886,history,gemini-2.5-flash-lite,0,10,0,1.0
4898,history,gemini-2.5-flash-lite,10,0,0,0.0
4923,history,gemini-2.5-flash-lite,10,0,0,0.0
4938,history,gemini-2.5-flash-lite,9,1,0,0.1
4942,history,gemini-2.5-flash-lite,4,6,0,0.6
4994,history,gemini-2.5-flash-lite,0,10,0,1.0
5019,history,gemini-2.5-flash-lite,0,10,0,1.0
5041,history,gemini-2.5-flash-lite,0,10,0,1.0
5090,other,gemini-2.5-flash-lite,4,6,0,0.6
5099,other,gemini-2.5-flash-lite,10,0,0,0.0
5123,other,gemini-2.5-flash-lite,5,5,0,0.5
5127,other,gemini-2.5-flash-lite,0,10,0,1.0
5218,other,gemini-2.5-flash-lite,10,0,0,0.0
5228,other,gemini-2.5-flash-lite,10,0,0,0.0
5270,other,gemini-2.5-flash-lite,10,0,0,0.0
5275,other,gemini-2.5-flash-lite,10,0,0,0.0
5299,other,gemini-2.5-flash-lite,3,7,0,0.7
5354,other,gemini-2.5-flash-lite,5,5,0,0.5
5384,other,gemini-2.5-flash-lite,10,0,0,0.0
5419,other,gemini-2.5-flash-lite,10,0,0,0.0
5473,other,gemini-2.5-flash-lite,10,0,0,0.0
5496,other,gemini-2.5-flash-lite,9,1,0,0.1
5596,other,gemini-2.5-flash-lite,7,3,0,0.3
5622,other,gemini-2.5-flash-lite,9,1,0,0.1
5692,other,gemini-2.5-flash-lite,1,9,0,0.9
5913,other,gemini-2.5-flash-lite,10,0,0,0.0
5938,other,gemini-2.5-flash-lite,9,1,0,0.1
5950,other,gemini-2.5-flash-lite,10,0,0,0.0
6069,health,gemini-2.5-flash-lite,0,10,0,1.0
6089,health,gemini-2.5-flash-lite,0,10,0,1.0
6196,health,gemini-2.5-flash-lite,0,10,1,1.0
6214,health,gemini-2.5-flash-lite,0,10,0,1.0
6399,health,gemini-2.5-flash-lite,10,0,0,0.0
6437,health,gemini-2.5-flash-lite,10,0,0,0.0
6501,health,gemini-2.5-flash-lite,10,0,0,0.0
6503,health,gemini-2.5-flash-lite,6,4,0,0.4
6533,health,gemini-2.5-flash-lite,0,10,0,1.0
6537,health,gemini-2.5-flash-lite,6,4,2,0.4
6543,health,gemini-2.5-flash-lite,10,0,0,0.0
6550,health,gemini-2.5-flash-lite,9,1,0,0.1
6588,health,gemini-2.5-flash-lite,9,1,1,0.1
6604,health,gemini-2.5-flash-lite,8,2,0,0.2
6641,health,gemini-2.5-flash-lite,0,10,0,1.0
6682,health,gemini-2.5-flash-lite,0,10,0,1.0
6764,health,gemini-2.5-flash-lite,2,8,0,0.8
6774,health,gemini-2.5-flash-lite,0,10,0,1.0
6806,health,gemini-2.5-flash-lite,9,1,0,0.1
6813,health,gemini-2.5-flash-lite,1,9,0,0.9
6857,economics,gemini-2.5-flash-lite,10,0,0,0.0
6890,economics,gemini-2.5-flash-lite,10,0,0,0.0
6893,economics,gemini-2.5-flash-lite,8,2,0,0.2
7044,economics,gemini-2.5-flash-lite,10,0,0,0.0
7047,economics,gemini-2.5-flash-lite,9,1,0,0.1
7056,economics,gemini-2.5-flash-lite,0,10,0,1.0
7077,economics,gemini-2.5-flash-lite,9,1,0,0.1
7090,economics,gemini-2.5-flash-lite,10,0,0,0.0
7199,economics,gemini-2.5-flash-lite,10,0,0,0.0
7200,economics,gemini-2.5-flash-lite,9,1,0,0.1
7313,economics,gemini-2.5-flash-lite,9,1,0,0.1
7329,economics,gemini-2.5-flash-lite,10,0,0,0.0
7338,economics,gemini-2.5-flash-lite,2,8,1,0.8
7383,economics,gemini-2.5-flash-lite,10,0,0,0.0
7392,economics,gemini-2.5-flash-lite,10,0,0,0.0
7462,economics,gemini-2.5-flash-lite,10,0,0,0.0
7580,economics,gemini-2.5-flash-lite,10,0,0,0.0
7633,economics,gemini-2.5-flash-lite,10,0,0,0.0
7640,economics,gemini-2.5-flash-lite,9,1,0,0.1
7673,economics,gemini-2.5-flash-lite,8,2,0,0.2
7730,math,gemini-2.5-flash-lite,10,0,0,0.0
7763,math,gemini-2.5-flash-lite,10,0,0,0.0
7802,math,gemini-2.5-flash-lite,10,0,0,0.0
7952,math,gemini-2.5-flash-lite,10,0,0,0.0
7996,math,gemini-2.5-flash-lite,10,0,0,0.0
7999,math,gemini-2.5-flash-lite,10,0,0,0.0
8033,math,gemini-2.5-flash-lite,10,0,0,0.0
8058,math,gemini-2.5-flash-lite,10,0,0,0.0
8068,math,gemini-2.5-flash-lite,10,0,0,0.0
8098,math,gemini-2.5-flash-lite,6,4,0,0.4
8215,math,gemini-2.5-flash-lite,7,3,0,0.3
8241,math,gemini-2.5-flash-lite,10,0,0,0.0
8269,math,gemini-2.5-flash-lite,10,0,0,0.0
8319,math,gemini-2.5-flash-lite,10,0,0,0.0
8324,math,gemini-2.5-flash-lite,10,0,0,0.0
8446,math,gemini-2.5-flash-lite,9,1,0,0.1
8474,math,gemini-2.5-flash-lite,9,1,1,0.1
8607,math,gemini-2.5-flash-lite,8,2,2,0.2
8992,math,gemini-2.5-flash-lite,8,2,0,0.2
9032,math,gemini-2.5-flash-lite,6,4,4,0.4
9159,physics,gemini-2.5-flash-lite,9,1,0,0.1
9390,physics,gemini-2.5-flash-lite,10,0,0,0.0
9582,physics,gemini-2.5-flash-lite,9,1,0,0.1
9605,physics,gemini-2.5-flash-lite,8,2,0,0.2
9622,physics,gemini-2.5-flash-lite,1,9,3,0.9
9663,physics,gemini-2.5-flash-lite,10,0,0,0.0
9674,physics,gemini-2.5-flash-lite,10,0,0,0.0
9767,physics,gemini-2.5-flash-lite,9,1,0,0.1
9801,physics,gemini-2.5-flash-lite,10,0,0,0.0
9817,physics,gemini-2.5-flash-lite,8,2,1,0.2
9864,physics,gemini-2.5-flash-lite,8,2,0,0.2
9874,physics,gemini-2.5-flash-lite,10,0,0,0.0
9940,physics,gemini-2.5-flash-lite,9,1,0,0.1
9947,physics,gemini-2.5-flash-lite,10,0,0,0.0
10048,physics,gemini-2.5-flash-lite,0,10,0,1.0
10056,physics,gemini-2.5-flash-lite,10,0,0,0.0
10167,physics,gemini-2.5-flash-lite,10,0,0,0.0
10219,physics,gemini-2.5-flash-lite,10,0,0,0.0
10274,physics,gemini-2.5-flash-lite,8,2,1,0.2
10287,physics,gemini-2.5-flash-lite,6,4,0,0.4
10365,computer science,gemini-2.5-flash-lite,1,9,0,0.9
10391,computer science,gemini-2.5-flash-lite,6,4,0,0.4
10431,computer science,gemini-2.5-flash-lite,4,6,0,0.6
10436,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10437,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10449,computer science,gemini-2.5-flash-lite,9,1,0,0.1
10453,computer science,gemini-2.5-flash-lite,9,1,0,0.1
10485,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10491,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10496,computer science,gemini-2.5-flash-lite,0,10,0,1.0
10516,computer science,gemini-2.5-flash-lite,5,5,0,0.5
10532,computer science,gemini-2.5-flash-lite,0,10,0,1.0
10582,computer science,gemini-2.5-flash-lite,9,1,0,0.1
10583,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10587,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10649,computer science,gemini-2.5-flash-lite,0,10,0,1.0
10670,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10679,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10696,computer science,gemini-2.5-flash-lite,0,10,0,1.0
10744,computer science,gemini-2.5-flash-lite,10,0,0,0.0
10783,philosophy,gemini-2.5-flash-lite,0,10,0,1.0
10806,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
10832,philosophy,gemini-2.5-flash-lite,9,1,0,0.1
10850,philosophy,gemini-2.5-flash-lite,5,5,0,0.5
10878,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
10881,philosophy,gemini-2.5-flash-lite,8,2,0,0.2
10914,philosophy,gemini-2.5-flash-lite,8,2,0,0.2
10932,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
10952,philosophy,gemini-2.5-flash-lite,6,4,0,0.4
10970,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11011,philosophy,gemini-2.5-flash-lite,4,6,0,0.6
11017,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11042,philosophy,gemini-2.5-flash-lite,0,10,0,1.0
11104,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11137,philosophy,gemini-2.5-flash-lite,1,9,0,0.9
11192,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11210,philosophy,gemini-2.5-flash-lite,9,1,0,0.1
11239,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11245,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11274,philosophy,gemini-2.5-flash-lite,10,0,0,0.0
11315,engineering,gemini-2.5-flash-lite,7,3,0,0.3
11352,engineering,gemini-2.5-flash-lite,9,1,0,0.1
11355,engineering,gemini-2.5-flash-lite,2,8,0,0.8
11361,engineering,gemini-2.5-flash-lite,3,7,0,0.7
11373,engineering,gemini-2.5-flash-lite,3,7,0,0.7
11546,engineering,gemini-2.5-flash-lite,4,6,0,0.6
11631,engineering,gemini-2.5-flash-lite,0,10,0,1.0
11675,engineering,gemini-2.5-flash-lite,9,1,1,0.1
11740,engineering,gemini-2.5-flash-lite,6,4,0,0.4
11772,engineering,gemini-2.5-flash-lite,8,2,1,0.2
11782,engineering,gemini-2.5-flash-lite,10,0,0,0.0
11817,engineering,gemini-2.5-flash-lite,1,9,1,0.9
11835,engineering,gemini-2.5-flash-lite,8,2,0,0.2
11857,engineering,gemini-2.5-flash-lite,2,8,0,0.8
11862,engineering,gemini-2.5-flash-lite,2,8,0,0.8
11945,engineering,gemini-2.5-flash-lite,7,3,0,0.3
12072,engineering,gemini-2.5-flash-lite,8,2,1,0.2
12081,engineering,gemini-2.5-flash-lite,10,0,0,0.0
12193,engineering,gemini-2.5-flash-lite,10,0,0,0.0
12243,engineering,gemini-2.5-flash-lite,1,9,3,0.9
109,business,gemini-3.1-flash-lite,4,6,0,0.6
138,business,gemini-3.1-flash-lite,10,0,0,0.0
208,business,gemini-3.1-flash-lite,10,0,0,0.0
240,business,gemini-3.1-flash-lite,0,10,0,1.0
246,business,gemini-3.1-flash-lite,10,0,0,0.0
271,business,gemini-3.1-flash-lite,5,5,0,0.5
283,business,gemini-3.1-flash-lite,9,1,0,0.1
287,business,gemini-3.1-flash-lite,10,0,0,0.0
290,business,gemini-3.1-flash-lite,4,6,0,0.6
307,business,gemini-3.1-flash-lite,0,10,0,1.0
373,business,gemini-3.1-flash-lite,9,1,0,0.1
425,business,gemini-3.1-flash-lite,10,0,0,0.0
468,business,gemini-3.1-flash-lite,8,2,0,0.2
507,business,gemini-3.1-flash-lite,10,0,0,0.0
520,business,gemini-3.1-flash-lite,10,0,0,0.0
586,business,gemini-3.1-flash-lite,10,0,0,0.0
623,business,gemini-3.1-flash-lite,10,0,0,0.0
644,business,gemini-3.1-flash-lite,8,2,0,0.2
769,business,gemini-3.1-flash-lite,10,0,0,0.0
862,business,gemini-3.1-flash-lite,10,0,0,0.0
936,law,gemini-3.1-flash-lite,0,10,0,1.0
962,law,gemini-3.1-flash-lite,0,10,0,1.0
967,law,gemini-3.1-flash-lite,0,10,0,1.0
1009,law,gemini-3.1-flash-lite,3,7,0,0.7
1114,law,gemini-3.1-flash-lite,10,0,0,0.0
1163,law,gemini-3.1-flash-lite,10,0,0,0.0
1200,law,gemini-3.1-flash-lite,0,10,0,1.0
1205,law,gemini-3.1-flash-lite,10,0,0,0.0
1271,law,gemini-3.1-flash-lite,0,10,0,1.0
1286,law,gemini-3.1-flash-lite,10,0,0,0.0
1326,law,gemini-3.1-flash-lite,10,0,0,0.0
1360,law,gemini-3.1-flash-lite,10,0,0,0.0
1422,law,gemini-3.1-flash-lite,1,9,0,0.9
1485,law,gemini-3.1-flash-lite,10,0,0,0.0
1569,law,gemini-3.1-flash-lite,0,10,0,1.0
1601,law,gemini-3.1-flash-lite,10,0,0,0.0
1642,law,gemini-3.1-flash-lite,9,1,0,0.1
1647,law,gemini-3.1-flash-lite,0,10,0,1.0
1769,law,gemini-3.1-flash-lite,10,0,0,0.0
1979,law,gemini-3.1-flash-lite,1,9,0,0.9
2052,psychology,gemini-3.1-flash-lite,0,10,0,1.0
2054,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2055,psychology,gemini-3.1-flash-lite,3,7,0,0.7
2056,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2234,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2277,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2318,psychology,gemini-3.1-flash-lite,0,10,0,1.0
2337,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2368,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2386,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2449,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2483,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2519,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2526,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2604,psychology,gemini-3.1-flash-lite,9,1,0,0.1
2615,psychology,gemini-3.1-flash-lite,4,6,0,0.6
2631,psychology,gemini-3.1-flash-lite,5,5,0,0.5
2643,psychology,gemini-3.1-flash-lite,0,10,0,1.0
2663,psychology,gemini-3.1-flash-lite,10,0,0,0.0
2694,psychology,gemini-3.1-flash-lite,1,9,0,0.9
2845,biology,gemini-3.1-flash-lite,10,0,0,0.0
2871,biology,gemini-3.1-flash-lite,10,0,0,0.0
2884,biology,gemini-3.1-flash-lite,10,0,0,0.0
2890,biology,gemini-3.1-flash-lite,10,0,0,0.0
2903,biology,gemini-3.1-flash-lite,10,0,0,0.0
2926,biology,gemini-3.1-flash-lite,10,0,0,0.0
3014,biology,gemini-3.1-flash-lite,10,0,0,0.0
3045,biology,gemini-3.1-flash-lite,10,0,0,0.0
3071,biology,gemini-3.1-flash-lite,10,0,0,0.0
3139,biology,gemini-3.1-flash-lite,10,0,0,0.0
3231,biology,gemini-3.1-flash-lite,10,0,0,0.0
3296,biology,gemini-3.1-flash-lite,10,0,0,0.0
3309,biology,gemini-3.1-flash-lite,10,0,0,0.0
3323,biology,gemini-3.1-flash-lite,10,0,0,0.0
3341,biology,gemini-3.1-flash-lite,0,10,0,1.0
3367,biology,gemini-3.1-flash-lite,3,7,0,0.7
3445,biology,gemini-3.1-flash-lite,10,0,0,0.0
3463,biology,gemini-3.1-flash-lite,10,0,0,0.0
3506,biology,gemini-3.1-flash-lite,10,0,0,0.0
3522,biology,gemini-3.1-flash-lite,3,7,0,0.7
3582,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
3612,chemistry,gemini-3.1-flash-lite,0,10,0,1.0
3635,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
3941,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
3955,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
3996,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4052,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4149,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4243,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4277,chemistry,gemini-3.1-flash-lite,2,8,0,0.8
4293,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4299,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4315,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4348,chemistry,gemini-3.1-flash-lite,0,10,0,1.0
4433,chemistry,gemini-3.1-flash-lite,9,1,0,0.1
4437,chemistry,gemini-3.1-flash-lite,0,10,0,1.0
4448,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4498,chemistry,gemini-3.1-flash-lite,9,1,0,0.1
4556,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4648,chemistry,gemini-3.1-flash-lite,10,0,0,0.0
4708,history,gemini-3.1-flash-lite,7,3,0,0.3
4715,history,gemini-3.1-flash-lite,10,0,0,0.0
4724,history,gemini-3.1-flash-lite,10,0,0,0.0
4726,history,gemini-3.1-flash-lite,10,0,0,0.0
4741,history,gemini-3.1-flash-lite,10,0,0,0.0
4751,history,gemini-3.1-flash-lite,7,3,0,0.3
4765,history,gemini-3.1-flash-lite,10,0,0,0.0
4834,history,gemini-3.1-flash-lite,10,0,0,0.0
4839,history,gemini-3.1-flash-lite,10,0,0,0.0
4868,history,gemini-3.1-flash-lite,10,0,0,0.0
4871,history,gemini-3.1-flash-lite,10,0,0,0.0
4878,history,gemini-3.1-flash-lite,10,0,0,0.0
4886,history,gemini-3.1-flash-lite,0,10,0,1.0
4898,history,gemini-3.1-flash-lite,10,0,0,0.0
4923,history,gemini-3.1-flash-lite,10,0,0,0.0
4938,history,gemini-3.1-flash-lite,10,0,0,0.0
4942,history,gemini-3.1-flash-lite,9,1,0,0.1
4994,history,gemini-3.1-flash-lite,0,10,0,1.0
5019,history,gemini-3.1-flash-lite,0,10,0,1.0
5041,history,gemini-3.1-flash-lite,10,0,0,0.0
5090,other,gemini-3.1-flash-lite,0,10,0,1.0
5099,other,gemini-3.1-flash-lite,10,0,0,0.0
5123,other,gemini-3.1-flash-lite,10,0,0,0.0
5127,other,gemini-3.1-flash-lite,10,0,0,0.0
5218,other,gemini-3.1-flash-lite,10,0,0,0.0
5228,other,gemini-3.1-flash-lite,10,0,0,0.0
5270,other,gemini-3.1-flash-lite,10,0,0,0.0
5275,other,gemini-3.1-flash-lite,10,0,0,0.0
5299,other,gemini-3.1-flash-lite,6,4,0,0.4
5354,other,gemini-3.1-flash-lite,10,0,0,0.0
5384,other,gemini-3.1-flash-lite,10,0,0,0.0
5419,other,gemini-3.1-flash-lite,10,0,0,0.0
5473,other,gemini-3.1-flash-lite,10,0,0,0.0
5496,other,gemini-3.1-flash-lite,10,0,0,0.0
5596,other,gemini-3.1-flash-lite,10,0,0,0.0
5622,other,gemini-3.1-flash-lite,10,0,0,0.0
5692,other,gemini-3.1-flash-lite,8,2,0,0.2
5913,other,gemini-3.1-flash-lite,10,0,0,0.0
5938,other,gemini-3.1-flash-lite,10,0,0,0.0
5950,other,gemini-3.1-flash-lite,10,0,0,0.0
6069,health,gemini-3.1-flash-lite,10,0,0,0.0
6089,health,gemini-3.1-flash-lite,2,8,0,0.8
6196,health,gemini-3.1-flash-lite,0,10,0,1.0
6214,health,gemini-3.1-flash-lite,0,10,0,1.0
6399,health,gemini-3.1-flash-lite,10,0,0,0.0
6437,health,gemini-3.1-flash-lite,10,0,0,0.0
6501,health,gemini-3.1-flash-lite,0,10,0,1.0
6503,health,gemini-3.1-flash-lite,5,5,0,0.5
6533,health,gemini-3.1-flash-lite,10,0,0,0.0
6537,health,gemini-3.1-flash-lite,6,4,0,0.4
6543,health,gemini-3.1-flash-lite,10,0,0,0.0
6550,health,gemini-3.1-flash-lite,10,0,0,0.0
6588,health,gemini-3.1-flash-lite,6,4,0,0.4
6604,health,gemini-3.1-flash-lite,10,0,0,0.0
6641,health,gemini-3.1-flash-lite,0,10,0,1.0
6682,health,gemini-3.1-flash-lite,10,0,0,0.0
6764,health,gemini-3.1-flash-lite,2,8,0,0.8
6774,health,gemini-3.1-flash-lite,0,10,0,1.0
6806,health,gemini-3.1-flash-lite,10,0,0,0.0
6813,health,gemini-3.1-flash-lite,0,10,0,1.0
6857,economics,gemini-3.1-flash-lite,10,0,0,0.0
6890,economics,gemini-3.1-flash-lite,10,0,0,0.0
6893,economics,gemini-3.1-flash-lite,9,1,0,0.1
7044,economics,gemini-3.1-flash-lite,10,0,0,0.0
7047,economics,gemini-3.1-flash-lite,10,0,0,0.0
7056,economics,gemini-3.1-flash-lite,5,5,0,0.5
7077,economics,gemini-3.1-flash-lite,10,0,0,0.0
7090,economics,gemini-3.1-flash-lite,10,0,0,0.0
7199,economics,gemini-3.1-flash-lite,9,1,0,0.1
7200,economics,gemini-3.1-flash-lite,10,0,0,0.0
7313,economics,gemini-3.1-flash-lite,2,8,0,0.8
7329,economics,gemini-3.1-flash-lite,10,0,0,0.0
7338,economics,gemini-3.1-flash-lite,10,0,0,0.0
7383,economics,gemini-3.1-flash-lite,10,0,0,0.0
7392,economics,gemini-3.1-flash-lite,10,0,0,0.0
7462,economics,gemini-3.1-flash-lite,10,0,0,0.0
7580,economics,gemini-3.1-flash-lite,10,0,0,0.0
7633,economics,gemini-3.1-flash-lite,10,0,0,0.0
7640,economics,gemini-3.1-flash-lite,10,0,0,0.0
7673,economics,gemini-3.1-flash-lite,10,0,0,0.0
7730,math,gemini-3.1-flash-lite,10,0,0,0.0
7763,math,gemini-3.1-flash-lite,9,1,0,0.1
7802,math,gemini-3.1-flash-lite,10,0,0,0.0
7952,math,gemini-3.1-flash-lite,7,3,0,0.3
7996,math,gemini-3.1-flash-lite,10,0,0,0.0
7999,math,gemini-3.1-flash-lite,10,0,0,0.0
