feature,within_stratum_auc,abs,n_strata
f_core_question_ratio,0.5080751019216763,0.008075101921676264,5
f_question_type_secondary=who,0.4923190185075315,0.007680981492468486,4
f_constraint_count,0.4924597152723964,0.007540284727603597,4
f_avg_syllables_per_word,0.49283032418235273,0.00716967581764727,5
f_hedge_word_count,0.49284313981089467,0.00715686018910533,3
f_domain_hint=everyday,0.49325837640117987,0.0067416235988201345,5
f_avg_chars_per_word,0.4935536119507458,0.006446388049254181,5
f_long_word_ratio,0.5063871726461462,0.006387172646146189,5
f_question_type_secondary=which,0.5062782083470103,0.006278208347010317,4
f_has_code_span,0.5056284843460191,0.005628484346019147,2
f_has_math_expression,0.5054142101523222,0.005414210152322241,4
f_question_type_secondary=how,0.5053854304601958,0.005385430460195795,4
f_question_type_secondary=what,0.5049806009133859,0.004980600913385924,3
f_aggregation_flag,0.5049279858001521,0.004927985800152079,4
f_mtld,0.5048033864106231,0.004803386410623056,5
f_question_mark_count,0.5044491394762507,0.004449139476250696,3
f_entity_org_count,0.5042695770136932,0.004269577013693238,5
f_is_multi_part,0.5040402337335183,0.00404023373351825,2
f_rare_word_ratio,0.49613215019516516,0.003867849804834844,5
f_is_wh_question,0.5038356543784525,0.0038356543784524577,2
f_question_type=other,0.4961643456215476,0.003835654378452402,2
f_question_type_secondary=where,0.5037348313786132,0.0037348313786131904,4
f_non_ascii_ratio,0.5034853817763025,0.003485381776302532,4
f_requires_synthesis_flag,0.5034539319710649,0.0034539319710649163,2
f_negation_count,0.49659287252748785,0.0034071274725121503,3
f_max_word_len,0.4966213910688297,0.0033786089311703127,5
f_question_category=Reasoning,0.4966609287117972,0.0033390712882028217,3
f_question_type=where,0.49678279572310124,0.003217204276898755,2
f_whitespace_ratio,0.49679924961723854,0.0032007503827614636,5
f_vague_quantifiers_count,0.49737131643877996,0.0026286835612200354,5
f_is_comparison,0.502535236704669,0.0025352367046690416,5
f_acronym_count,0.5023566862140951,0.0023566862140951272,5
f_min_word_zipf,0.4980437974415791,0.001956202558420883,5
f_question_type=how,0.501885128403257,0.0018851284032570526,4
f_difficult_word_ratio,0.49939761669528215,0.0006023833047178462,5
f_temporal_type=range,0.5004931436034173,0.0004931436034173453,2
f_temporal_type=relative,0.49950685639658265,0.0004931436034173453,2
f_currency_count,0.4995562375179541,0.0004437624820459174,3
f_flesch_reading_ease,0.49963353785962966,0.0003664621403703383,5
f_unit_count,0.5003365939299725,0.00033659392997253956,4
